competitor_id,plan_id,price,effective_date
1,1,27.49,2025-01-01
2,2,22.49,2025-01-01
3,3,32.49,2025-01-01
4,4,18.49,2025-01-01
5,5,42.49,2025-01-01
6,6,26.49,2025-01-01
7,7,37.49,2025-01-01
8,8,21.49,2025-01-01
9,1,29.49,2025-02-01
10,2,24.49,2025-02-01
11,3,34.49,2025-02-01
12,4,19.49,2025-02-01
13,5,44.49,2025-02-01
14,6,28.49,2025-02-01
15,7,38.49,2025-02-01
16,8,22.49,2025-02-01
17,1,30.49,2025-03-01
18,2,25.49,2025-03-01
19,3,35.49,2025-03-01
20,4,20.49,2025-03-01
21,5,45.49,2025-03-01
22,6,29.49,2025-03-01
23,7,39.49,2025-03-01
24,8,23.49,2025-03-01
25,1,31.49,2025-04-01
26,2,26.49,2025-04-01
27,3,36.49,2025-04-01
28,4,21.49,2025-04-01
29,5,46.49,2025-04-01
30,6,30.49,2025-04-01
31,7,40.49,2025-04-01
32,8,24.49,2025-04-01
33,1,32.49,2025-05-01
34,2,27.49,2025-05-01
35,3,37.49,2025-05-01
36,4,22.49,2025-05-01
37,5,47.49,2025-05-01
38,6,31.49,2025-05-01
39,7,41.49,2025-05-01
40,8,25.49,2025-05-01
41,1,33.49,2025-06-01
42,2,28.49,2025-06-01
43,3,38.49,2025-06-01
44,4,23.49,2025-06-01
45,5,48.49,2025-06-01
46,6,32.49,2025-06-01
